"","gender","age","party","register","rate"
"2723","Male","< 18","Liberal","No",4
"2724","Female","18-30","Liberal","No",3
"2725","Male","18-30","Conservative","No",5
"2726","Male","18-30","Green","No",5
"2727","Male","18-30","Green","No",2
"2728","Female","< 18","Liberal","No",5
"2729","Female","18-30","Conservative","Yes",2
"2730","Female","18-30","NDP","Yes",4
"2731","Female","< 18","NDP","No",2
"2732","Female","18-30","Liberal","Yes",4
"2733","Male","18-30","Conservative","Yes",2
"2734","Female","18-30","Conservative","Yes",4
"2735","Female","18-30","Liberal","No",3
"2736","Female","18-30","Liberal","No",5
"2737","Male","18-30","Conservative","No",5
"2738","Female","18-30","Conservative","No",2
"2739","Male","18-30","Conservative","Yes",5
"2740","Male","18-30","Conservative","No",5
"2741","Female","18-30","Liberal","Yes",2
"2742","Male","18-30","Unsure","No",3
"2743","Female","18-30","NDP","Yes",3
"2744","Female","18-30","Liberal","No",1
"2745","Male","18-30","Liberal","No",3
"2746","Female","18-30","Liberal","No",5
"2747","Female","18-30","Liberal","No",5
"2748","Male","18-30","Liberal","Yes",5
"2749","Male","18-30","Liberal","Yes",4
"2750","Trans or Unisex","18-30","Unsure","No",5
"2751","Male","18-30","Liberal","No",5
"2752","Male","18-30","Liberal","No",4
"2753","Female","18-30","Liberal","No",2
"2754","Male","< 18","Green","No",3
"2755","Female","18-30","Liberal","Yes",3
"2756","Female","18-30","Liberal","Yes",4
"2757","Male","18-30","Liberal","No",3
"2758","Female","18-30","Other","No",5
"2759","Female","< 18","Unsure","Yes",5
"2760","Female","18-30","Conservative","No",4
"2761","Female","18-30","Liberal","No",3
"2762","Male","18-30","Liberal","Yes",2
"2763","Male","18-30","Liberal","Yes",3
"2764","Female","18-30","NDP","Yes",3
"2765","Male","18-30","Conservative","No",5
"2766","Female","18-30","Liberal","No",1
"2767","Female","18-30","Liberal","Yes",0
"2768","Female","18-30","Conservative","Yes",4
"2769","Female","18-30","Conservative","Yes",4
"2770","Female","18-30","Conservative","No",4
"2771","Female","18-30","Liberal","No",5
"2772","Female","18-30","Conservative","No",2
"2773","Female","18-30","Liberal","Yes",3
"2774","Male","18-30","NDP","Yes",5
"2775","Female","< 18","Liberal","No",5
"2776","Female","18-30","Liberal","Yes",2
"2777","Female","18-30","Liberal","No",2
"2778","Female","18-30","Conservative","No",5
"2779","Trans or Unisex","18-30","Unsure","No",4
"2780","Female","< 18","Unsure","Unsure",3
"2781","Male","18-30","Liberal","No",2
"2782","Male","18-30","Liberal","No",1
"2783","Female","18-30","Liberal","No",5
"2784","Male","18-30","Conservative","No",3
"2785","Female","18-30","Liberal","Yes",2
"2786","Female","< 18","Liberal","No",0
"2787","Female","18-30","Conservative","Unsure",3
"2788","Male","18-30","Unsure","No",3
"2789","Female","18-30","Liberal","No",4
"2790","Trans or Unisex","18-30","Other","No",4
"2791","Male","18-30","Other","No",4
"2792","Male","18-30","Other","No",5
"2793","Female","18-30","Liberal","Yes",3
"2794","Female","18-30","Green","No",4
"2795","Male","18-30","Liberal","No",1
"2796","Trans or Unisex","18-30","NDP","Yes",2
"2797","Male","18-30","Liberal","No",5
"2798","Male","18-30","Conservative","Unsure",2
"2799","Female","18-30","NDP","No",5
"2800","Female","18-30","Liberal","Yes",4
"2801","Female","18-30","Liberal","Yes",4
"2802","Male","18-30","Conservative","No",4
"2803","Trans or Unisex","< 18","Liberal","No",2
"2804","Female","18-30","NDP","Yes",5
"2805","Male","18-30","Conservative","Yes",2
"2806","Male","18-30","Conservative","Yes",5
"2807","Female","18-30","Liberal","Yes",4
"2808","Female","18-30","Conservative","No",5
"2809","Female","< 18","Liberal","No",4
"2810","Female","< 18","Liberal","Yes",5
"2811","Female","18-30","Liberal","Yes",3
"2812","Male","18-30","Liberal","No",4
"2813","Male","18-30","Unsure","Unsure",3
"2814","Male","< 18","Liberal","No",3
"2815","Trans or Unisex","18-30","Conservative","Yes",5
"2816","Female","18-30","NDP","Yes",0
"2817","Female","18-30","NDP","No",4
"2818","Female","18-30","Conservative","Unsure",4
"2819","Female","18-30","Liberal","Unsure",3
"2820","Female","18-30","Liberal","No",5
"2821","Male","18-30","Conservative","No",2
"2822","Female","18-30","Other","Yes",5
"2823","Male","18-30","Conservative","No",3
"2824","Female","18-30","Green","Yes",4
"2825","Male","18-30","Liberal","No",5
"2826","Female","18-30","Conservative","Yes",2
"2827","Female","18-30","Other","Yes",3
"2828","Male","18-30","Conservative","No",4
"2829","Male","18-30","Conservative","No",4
"2830","Female","18-30","Other","No",5
"2831","Female","18-30","NDP","No",3
"2832","Male","18-30","Liberal","No",4
"2833","Female","18-30","Conservative","No",3
"2834","Trans or Unisex","18-30","Liberal","No",5
"2835","Female","18-30","Conservative","No",4
"2836","Female","< 18","Green","No",4
"2837","Female","< 18","Other","No",4
"2838","Female","< 18","Conservative","No",3
"2839","Female","18-30","Conservative","Yes",3
"2840","Female","18-30","Liberal","Yes",3
"2841","Male","18-30","Liberal","No",2
"2842","Female","18-30","Conservative","No",3
"2843","Female","18-30","Green","No",5
"2844","Female","18-30","Liberal","No",4
"2845","Female","< 18","Liberal","Yes",3
"2846","Female","18-30","Liberal","No",3
"2847","Male","18-30","Liberal","No",3
"2848","Female","< 18","Liberal","No",2
"2849","Female","18-30","Conservative","No",2
"2850","Male","18-30","Liberal","Yes",5
"2851","Male","18-30","Liberal","Yes",3
"2852","Male","18-30","Liberal","Yes",5
"2853","Male","18-30","Unsure","No",4
"2854","Female","18-30","Conservative","No",2
"2855","Female","18-30","Other","No",3
"2856","Trans or Unisex","18-30","Liberal","Unsure",5
"2857","Female","18-30","Liberal","No",3
"2858","Male","18-30","Green","No",5
"2859","Male","18-30","Green","No",2
"2860","Male","18-30","Conservative","No",3
"2861","Female","18-30","Liberal","No",4
"2862","Male","18-30","Liberal","No",3
"2863","Female","18-30","Conservative","Yes",3
"2864","Male","18-30","Liberal","Unsure",5
"2865","Female","18-30","NDP","No",5
"2866","Male","18-30","Liberal","No",2
"2867","Female","18-30","NDP","No",3
"2868","Male","18-30","Liberal","No",5
"2869","Male","18-30","Liberal","No",4
"2870","Female","18-30","Conservative","Yes",4
"2871","Male","18-30","Conservative","No",4
"2872","Female","18-30","Green","No",2
"2873","Trans or Unisex","18-30","Conservative","Yes",1
"2874","Male","< 18","Liberal","No",3
"2875","Female","18-30","NDP","No",3
"2876","Female","18-30","Conservative","Yes",0
"2877","No reply","18-30","Unsure","No",4
"2878","Male","18-30","Liberal","No",4
"2879","Male","18-30","Conservative","No",3
"2880","Female","18-30","Liberal","No",1
"2881","Female","18-30","Liberal","No",4
"2882","Male","18-30","Liberal","No",5
"2883","Female","< 18","Unsure","No",3
"2884","Female","18-30","Conservative","Yes",4
"2885","Female","18-30","Conservative","No",2
"2886","Male","18-30","Liberal","Yes",5
"2887","Male","18-30","Conservative","Yes",1
"2888","Male","18-30","Conservative","Yes",1
"2889","Male","18-30","Liberal","No",4
"2890","Female","18-30","Liberal","No",3
"2891","Female","18-30","Other","No",5
"2892","Female","18-30","Liberal","No",3
"2893","Male","< 18","Conservative","No",3
"2894","Female","18-30","Liberal","No",4
"2895","Female","18-30","Conservative","No",4
"2896","Male","18-30","Liberal","Yes",3
"2897","Female","18-30","Green","Unsure",5
"2898","Male","18-30","NDP","No",1
"2899","Female","18-30","Conservative","No",4
"2900","Female","18-30","Liberal","Yes",4
"2901","Female","18-30","Liberal","Yes",4
"2902","Male","18-30","Unsure","Unsure",5
"2903","Female","18-30","NDP","Yes",3
"2904","Male","18-30","Conservative","No",4
"2905","Female","18-30","Liberal","Yes",1
"2906","Male","18-30","Liberal","Yes",5
"2907","No reply","18-30","Conservative","No",5
"2908","Female","< 18","Liberal","Yes",2
"2909","Male","18-30","Liberal","Yes",3
"2910","Male","18-30","Liberal","No",3
"2911","Male","18-30","Conservative","No",2
"2912","Female","< 18","Conservative","Yes",2
"2913","Female","18-30","Liberal","Yes",1
"2914","Male","18-30","NDP","No",4
"2915","Trans or Unisex","18-30","Conservative","No",3
"2916","Male","18-30","Liberal","No",3
"2917","Female","< 18","Conservative","Yes",4
"2918","Trans or Unisex","< 18","Liberal","No",2
"2919","Male","18-30","Unsure","No",2
"2920","Female","18-30","NDP","Yes",4
"2921","Female","18-30","Green","No",1
"2922","Female","18-30","Liberal","Yes",1
"2923","Female","18-30","Other","Yes",2
"2924","Male","< 18","NDP","Yes",4
"2925","Female","18-30","Liberal","No",3
"2926","Female","18-30","NDP","No",2
"2927","Male","18-30","Conservative","Yes",2
"2928","Female","18-30","Liberal","No",2
"2929","Male","18-30","Conservative","Yes",4
"2930","Male","< 18","Conservative","No",4
"2931","Male","18-30","Conservative","No",5
"2932","Male","18-30","Conservative","Yes",4
"2933","Female","18-30","Liberal","Yes",3
"2934","Female","< 18","Conservative","No",4
"2935","Male","18-30","Conservative","No",4
"2936","Female","18-30","Conservative","Yes",2
"2937","Male","18-30","Liberal","No",5
"2938","Female","18-30","Liberal","No",2
"2939","Female","18-30","Liberal","Yes",3
"2940","Male","18-30","NDP","No",2
"2941","Female","18-30","Liberal","No",4
"2942","Trans or Unisex","18-30","Other","Yes",2
"2943","Female","18-30","Liberal","No",5
"2944","Female","18-30","Conservative","No",4
"2945","Female","18-30","Liberal","No",5
"2946","Male","18-30","Liberal","No",2
"2947","Female","18-30","Liberal","No",5
"2948","Male","18-30","Liberal","Yes",1
"2949","Female","18-30","Liberal","No",2
"2950","Male","< 18","Liberal","Yes",3
"2951","Female","18-30","Liberal","No",2
"2952","Male","18-30","NDP","No",4
"2953","Female","18-30","Liberal","Yes",4
"2954","Male","18-30","Other","No",2
"2955","No reply","18-30","NDP","Yes",2
"2956","Female","18-30","Conservative","No",2
"2957","Female","18-30","Liberal","No",3
"2958","Female","18-30","Conservative","No",5
"2959","Male","18-30","Conservative","No",2
"2960","Female","18-30","Liberal","No",4
"2961","Female","18-30","Liberal","No",4
"2962","Female","18-30","Liberal","Unsure",4
"2963","Female","< 18","Liberal","No",3
"2964","Male","< 18","NDP","No",4
"2965","Male","18-30","Unsure","No",4
"2966","Male","18-30","Unsure","No",4
"2967","Female","18-30","Conservative","No",4
"2968","Male","< 18","NDP","Unsure",3
"2969","Male","18-30","Liberal","No",3
"2970","Female","18-30","Unsure","No",4
"2971","Male","18-30","Green","No",2
"2972","Female","18-30","Liberal","No",2
"2973","Trans or Unisex","18-30","Liberal","Yes",5
"2974","Male","18-30","Liberal","Yes",0
"2975","Female","18-30","Conservative","Yes",3
"2976","Male","18-30","Liberal","No",3
"2977","Male","18-30","Conservative","No",3
"2978","Male","18-30","NDP","No",4
"2979","Female","18-30","Liberal","Yes",4
"2980","Male","18-30","Conservative","No",4
"2981","Female","18-30","Liberal","Yes",3
"2982","Male","18-30","Liberal","No",5
"2983","Male","18-30","Conservative","Yes",2
"2984","Female","18-30","Conservative","Yes",1
"2985","Male","18-30","Unsure","No",4
"2986","Female","18-30","Liberal","No",3
"2987","Female","18-30","Liberal","No",3
"2988","Male","18-30","Liberal","No",3
"2989","Male","18-30","Liberal","No",2
"2990","Female","< 18","Liberal","Yes",5
"2991","Female","18-30","Liberal","Unsure",3
"2992","Female","18-30","Other","Yes",2
"2993","Male","18-30","Liberal","No",3
"2994","Male","18-30","Liberal","Unsure",4
"2995","Female","18-30","Other","No",2
"2996","Female","18-30","Conservative","Unsure",4
"2997","Male","18-30","Liberal","No",4
"2998","Female","18-30","Conservative","No",1
"2999","Male","< 18","Green","Yes",3
"3000","Female","< 18","Liberal","Yes",4
"3001","Male","18-30","Liberal","Yes",3
"3002","Male","18-30","Liberal","No",5
"3003","Female","18-30","Conservative","No",3
"3004","Female","18-30","NDP","No",1
"3005","Female","< 18","Conservative","Yes",4
"3006","Male","18-30","Liberal","No",2
"3007","Male","18-30","Other","No",3
"3008","Male","18-30","Unsure","No",3
"3009","Female","18-30","Liberal","Yes",4
"3010","Female","< 18","Liberal","No",3
"3011","Male","18-30","Unsure","Yes",4
"3012","Male","18-30","Liberal","Yes",0
"3013","Male","< 18","Liberal","No",3
"3014","Female","18-30","Other","No",3
"3015","Female","< 18","NDP","No",1
"3016","Male","18-30","Liberal","Unsure",5
"3017","Male","18-30","Green","No",3
"3018","Male","18-30","Liberal","No",5
"3019","Female","18-30","Liberal","Yes",2
"3020","Male","18-30","Liberal","Yes",4
"3021","Male","18-30","Unsure","No",3
"3022","Male","18-30","Conservative","No",4
"3023","Female","18-30","Unsure","Yes",5
"3024","Male","18-30","Liberal","Yes",5
"3025","Female","18-30","Liberal","Yes",1
"3026","Female","< 18","NDP","No",1
"3027","Female","18-30","Liberal","No",3
"3028","Male","18-30","Green","No",4
"3029","Female","18-30","Liberal","No",4
"3030","Male","18-30","NDP","No",5
"3031","Male","18-30","Liberal","Yes",3
"3032","Male","< 18","Conservative","No",5
"3033","Female","18-30","Liberal","Yes",2
"3034","Female","< 18","Other","No",4
"3035","Female","18-30","Conservative","No",4
"3036","Male","18-30","Liberal","No",4
"3037","Male","< 18","Liberal","Yes",1
"3038","Trans or Unisex","< 18","Liberal","Yes",0
"3039","Female","18-30","Conservative","Yes",5
"3040","Male","18-30","Conservative","Yes",3
"3041","Male","< 18","Liberal","Yes",4
"3042","Female","18-30","Conservative","No",1
"3043","Male","18-30","Conservative","No",2
"3044","Male","18-30","Green","Yes",2
"3045","Trans or Unisex","18-30","Liberal","No",5
"3046","Male","18-30","Conservative","No",5
"3047","Male","18-30","Green","Yes",4
"3048","Female","18-30","Green","No",4
"3049","Female","18-30","Liberal","No",3
"3050","Male","18-30","Liberal","Yes",2
"3051","Female","18-30","Liberal","Yes",2
"3052","Male","18-30","Liberal","No",5
"3053","Female","18-30","Liberal","No",5
"3054","Male","18-30","Conservative","No",5
"3055","Female","18-30","Liberal","Unsure",4
"3056","Female","18-30","NDP","No",5
"3057","Female","18-30","Liberal","Yes",5
"3058","Trans or Unisex","18-30","NDP","No",2
"3059","Female","18-30","Liberal","Yes",5
"3060","Male","< 18","Conservative","Yes",5
"3061","Female","18-30","Liberal","No",3
"3062","Male","18-30","Liberal","No",5
"3063","Female","18-30","Liberal","No",5
"3064","Male","18-30","Liberal","Yes",4
"3065","Male","18-30","Liberal","No",5
"3066","Male","< 18","Liberal","No",2
"3067","Trans or Unisex","18-30","Liberal","No",3
"3068","Male","18-30","Other","Yes",4
"3069","Male","18-30","Liberal","No",4
"3070","Male","18-30","Liberal","No",5
"3071","Male","18-30","Liberal","No",3
"3072","Female","18-30","Liberal","No",1
"3073","Male","< 18","Conservative","No",3
"3074","Female","18-30","Conservative","No",4
"3075","Female","18-30","Liberal","No",4
"3076","Male","18-30","Liberal","No",4
"3077","Male","18-30","Liberal","Yes",3
"3078","Male","18-30","Conservative","No",4
"3079","Male","18-30","Unsure","No",5
"3080","Male","18-30","Conservative","No",2
"3081","Female","18-30","Liberal","Yes",5
"3082","Female","18-30","Other","No",0
"3083","Female","18-30","Conservative","No",4
"3084","Female","18-30","Conservative","No",2
"3085","Trans or Unisex","18-30","Liberal","No",3
"3086","Female","< 18","Liberal","Yes",3
"3087","Female","18-30","Conservative","No",1
"3088","Male","18-30","Unsure","No",2
"3089","Female","18-30","Liberal","No",2
"3090","Female","18-30","Other","Yes",4
"3091","Female","< 18","Liberal","Yes",3
"3092","Male","18-30","Other","Yes",4
"3093","Male","18-30","Liberal","No",5
"3094","Male","18-30","Liberal","No",3
"3095","Female","18-30","Conservative","No",3
"3096","Female","18-30","Green","No",2
"3097","Male","18-30","Green","No",1
"3098","Female","18-30","NDP","Yes",4
"3099","No reply","18-30","Liberal","Yes",4
"3100","Female","18-30","Conservative","No",5
"3101","Female","18-30","Liberal","No",3
"3102","Female","18-30","Liberal","Yes",4
"3103","Female","18-30","NDP","No",2
"3104","Male","18-30","Conservative","No",5
"3105","Male","18-30","Other","No",5
"3106","Male","18-30","Liberal","Yes",4
"3107","Female","18-30","Liberal","No",2
"3108","Female","18-30","Other","No",1
"3109","Male","18-30","Liberal","No",4
"3110","Male","18-30","Unsure","No",3
"3111","Female","18-30","Conservative","No",3
"3112","Female","18-30","Liberal","No",3
"3113","Male","18-30","Conservative","No",1
"3114","Female","18-30","Unsure","Yes",4
"3115","Female","< 18","NDP","Yes",4
"3116","Female","< 18","Green","Yes",3
"3117","Male","18-30","Liberal","No",3
"3118","Male","18-30","Liberal","No",3
"3119","No reply","18-30","Conservative","Yes",4
"3120","Male","18-30","Liberal","Yes",3
"3121","Male","18-30","Unsure","Yes",2
"3122","Male","< 18","Liberal","Yes",4
"3123","Male","18-30","Liberal","No",2
"3124","Female","18-30","Liberal","Yes",3
"3125","Female","18-30","Liberal","Yes",4
"3126","No reply","18-30","Liberal","No",5
"3127","Female","18-30","Liberal","No",5
"3128","Female","18-30","Unsure","No",0
"3129","Female","18-30","Liberal","No",3
"3130","Female","18-30","Conservative","Yes",4
"3131","Female","18-30","NDP","Yes",3
"3132","Male","< 18","Liberal","No",2
"3133","Male","18-30","Liberal","No",4
"3134","Female","18-30","Liberal","No",3
"3135","Trans or Unisex","< 18","Liberal","No",2
"3136","Female","18-30","Liberal","No",2
"3137","Female","18-30","Green","No",4
"3138","Female","< 18","Liberal","No",4
"3139","Male","18-30","Unsure","Yes",4
"3140","Male","18-30","Green","No",2
"3141","Male","18-30","Liberal","Yes",3
"3142","Female","18-30","Liberal","No",1
"3143","Female","18-30","Liberal","No",3
"3144","Male","18-30","Conservative","No",4
"3145","Male","18-30","Conservative","No",5
"3146","Female","18-30","Liberal","Unsure",3
"3147","Male","18-30","Liberal","No",4
"3148","Male","18-30","Conservative","Yes",4
"3149","Female","18-30","NDP","Yes",0
"3150","Male","18-30","Unsure","Unsure",2
"3151","Female","18-30","Liberal","No",4
"3152","Female","18-30","Green","No",2
"3153","Female","18-30","Conservative","No",5
"3154","Female","18-30","Liberal","Yes",3
"3155","Female","18-30","NDP","Yes",2
"3156","Male","18-30","Liberal","Yes",5
"3157","Male","18-30","NDP","Yes",3
"3158","Female","18-30","Liberal","Yes",4
"3159","Female","18-30","Other","No",3
"3160","Male","18-30","Conservative","No",4
"3161","Female","18-30","Other","Yes",5
"3162","Female","18-30","Liberal","Yes",3
"3163","Female","18-30","Liberal","Yes",3
"3164","Male","18-30","Liberal","Yes",2
"3165","Male","18-30","Other","No",4
"3166","Female","18-30","Liberal","Yes",5
"3167","Female","< 18","Liberal","No",3
"3168","Male","18-30","Other","No",1
"3169","Female","18-30","Conservative","No",2
"3170","Male","18-30","Conservative","Unsure",3
"3171","Trans or Unisex","18-30","Liberal","No",3
"3172","Male","18-30","NDP","No",4
"3173","Female","18-30","Other","No",4
"3174","Female","18-30","Conservative","No",2
"3175","Female","18-30","Liberal","No",4
"3176","Female","18-30","Liberal","Yes",3
"3177","Female","< 18","NDP","No",3
"3178","Male","18-30","Conservative","No",4
"3179","Male","18-30","Conservative","No",3
"3180","Male","18-30","Conservative","No",0
"3181","Female","18-30","Liberal","Yes",2
"3182","Female","18-30","Liberal","Yes",4
"3183","Male","18-30","Liberal","No",4
"3184","Female","18-30","Liberal","No",5
"3185","Female","18-30","Green","No",4
"3186","Female","18-30","Liberal","No",4
"3187","Male","18-30","Conservative","No",2
"3188","Male","18-30","Conservative","No",2
"3189","Male","18-30","Liberal","No",3
"3190","Male","18-30","Liberal","No",4
"3191","Male","18-30","Liberal","No",4
"3192","Male","18-30","NDP","No",4
"3193","Trans or Unisex","18-30","Liberal","No",3
"3194","Female","18-30","NDP","No",5
"3195","Female","18-30","Other","No",4
"3196","Female","< 18","Other","No",1
"3197","Male","< 18","Liberal","No",4
"3198","Male","18-30","Conservative","No",5
"3199","Female","< 18","Liberal","Yes",3
"3200","Female","18-30","Liberal","Yes",5
"3201","Trans or Unisex","< 18","Other","No",2
"3202","Male","18-30","Liberal","Yes",2
"3203","Male","18-30","Liberal","No",3
"3204","Female","18-30","Green","No",3
"3205","Female","< 18","Conservative","No",5
"3206","Male","18-30","Liberal","Yes",2
"3207","Male","18-30","Conservative","No",4
"3208","Female","18-30","Liberal","No",3
"3209","Female","< 18","Conservative","No",4
"3210","Female","18-30","Liberal","Yes",2
"3211","Female","< 18","NDP","No",5
"3212","Female","18-30","Conservative","No",1
"3213","Male","18-30","Conservative","Unsure",3
"3214","Male","18-30","Liberal","Yes",4
"3215","Female","18-30","Liberal","No",3
"3216","Female","18-30","Liberal","Yes",1
"3217","Female","18-30","Liberal","No",1
"3218","Female","< 18","Liberal","No",5
"3219","Male","18-30","Conservative","No",5
"3220","Female","18-30","Liberal","No",5
"3221","Male","18-30","Liberal","No",5
"3222","Male","18-30","Liberal","Yes",4
"3223","Male","18-30","Liberal","No",1
"3224","Female","18-30","Green","Yes",4
"3225","Male","18-30","Liberal","No",2
"3226","Female","18-30","Other","Yes",4
"3227","Female","18-30","Green","No",4
"3228","Male","18-30","Green","Yes",3
"3229","Female","18-30","Liberal","Yes",2
"3230","Female","18-30","Liberal","No",3
"3231","Trans or Unisex","< 18","Liberal","No",1
"3232","Male","18-30","Conservative","Yes",1
"3233","Male","18-30","NDP","No",5
"3234","Male","< 18","Liberal","No",4
"3235","Male","18-30","Other","No",4
"3236","Female","18-30","Liberal","No",1
"3237","Male","18-30","Liberal","No",4
"3238","Female","18-30","Liberal","No",2
"3239","Female","18-30","Liberal","Yes",2
"3240","Female","18-30","Green","Yes",4
"3241","Female","18-30","Conservative","Yes",5
"3242","Male","18-30","Conservative","No",5
"3243","Male","18-30","Other","No",3
"3244","Female","18-30","Liberal","No",5
"3245","Male","18-30","Liberal","Yes",3
"3246","Male","18-30","Liberal","Yes",1
"3247","Male","18-30","Unsure","No",3
"3248","Male","18-30","Unsure","No",2
"3249","Female","18-30","NDP","No",5
"3250","Male","18-30","Unsure","No",2
"3251","Female","18-30","Liberal","No",1
"3252","Male","18-30","Conservative","No",4
"3253","Male","18-30","Conservative","Yes",1
"3254","Male","< 18","NDP","No",4
"3255","Female","18-30","Liberal","Yes",4
"3256","Male","18-30","Other","Yes",2
"3257","Male","18-30","Conservative","Yes",3
"3258","Female","18-30","Green","No",4
"3259","Female","18-30","Liberal","No",5
"3260","Female","18-30","Green","No",5
"3261","Male","< 18","Liberal","Yes",3
"3262","Female","18-30","Green","No",3
"3263","Male","18-30","Liberal","No",2
"3264","Male","18-30","Liberal","Yes",0
"3265","Male","< 18","Liberal","No",5
"3266","Female","18-30","Other","No",4
"3267","Male","< 18","Liberal","No",4
"3268","Male","18-30","Conservative","No",3
"3269","Female","18-30","Liberal","Unsure",4
"3270","Male","18-30","Other","No",2
"3271","Male","18-30","Liberal","No",5
"3272","Male","18-30","Conservative","No",4
"3273","Trans or Unisex","18-30","Liberal","Yes",1
"3274","Male","18-30","Liberal","No",4
"3275","Male","18-30","Conservative","No",1
"3276","Male","18-30","Liberal","Yes",4
"3277","Male","18-30","Other","No",4
"3278","Male","18-30","Liberal","Yes",2
"3279","Female","18-30","Liberal","No",3
"3280","Female","18-30","Conservative","No",2
"3281","Female","18-30","Conservative","No",5
"3282","Trans or Unisex","18-30","Conservative","No",3
"3283","Male","18-30","Liberal","No",4
"3284","Female","18-30","Liberal","Yes",5
"3285","Male","18-30","NDP","No",3
"3286","Female","18-30","Liberal","No",4
"3287","Female","18-30","Liberal","No",0
"3288","Female","18-30","Other","Yes",4
"3289","Female","18-30","Liberal","Yes",4
"3290","Female","18-30","Conservative","Unsure",2
"3291","Female","18-30","Liberal","No",4
"3292","Female","18-30","NDP","Yes",5
"3293","Female","18-30","Conservative","No",2
"3294","Male","18-30","Liberal","No",4
"3295","No reply","18-30","NDP","No",5
"3296","Male","18-30","Liberal","No",4
"3297","Female","18-30","NDP","No",4
"3298","Male","18-30","Liberal","No",4
"3299","Male","18-30","Liberal","No",3
"3300","Female","18-30","Unsure","No",2
"3301","Female","18-30","NDP","Yes",2
"3302","Male","18-30","Liberal","No",2
"3303","Female","18-30","Liberal","No",2
"3304","Male","18-30","Liberal","No",5
"3305","Male","18-30","Green","No",4
"3306","Female","18-30","Conservative","Yes",1
"3307","Trans or Unisex","< 18","Liberal","No",3
"3308","Male","18-30","Liberal","No",4
"3309","Female","18-30","Conservative","No",3
"3310","Female","18-30","Conservative","Yes",3
"3311","Female","18-30","Green","Yes",5
"3312","Male","18-30","Liberal","No",1
"3313","Male","18-30","Other","No",4
"3314","Male","18-30","Liberal","Yes",4
"3315","No reply","18-30","Liberal","No",4
"3316","Male","18-30","Liberal","Yes",4
"3317","Male","18-30","Liberal","No",4
"3318","Male","18-30","Other","Yes",3
"3319","Male","18-30","Liberal","Yes",3
"3320","Female","18-30","Conservative","Yes",2
"3321","Trans or Unisex","18-30","Green","No",5
"3322","Female","18-30","Liberal","No",4
"3323","Female","< 18","NDP","Yes",4
"3324","Female","18-30","NDP","No",4
"3325","Male","18-30","Liberal","No",4
"3326","Female","< 18","Conservative","Yes",3
"3327","Male","18-30","Conservative","No",5
"3328","Female","18-30","Liberal","No",4
"3329","Female","18-30","Liberal","Yes",2
"3330","Male","18-30","Liberal","No",5
"3331","Male","18-30","NDP","Unsure",2
"3332","Female","18-30","NDP","Yes",5
"3333","Female","18-30","Liberal","No",4
"3334","Male","18-30","Conservative","Yes",3
"3335","Male","18-30","Conservative","Yes",5
"3336","Female","18-30","Conservative","No",1
"3337","Female","18-30","Liberal","No",4
"3338","Trans or Unisex","< 18","NDP","No",2
"3339","Male","18-30","Liberal","No",1
"3340","Male","18-30","Conservative","No",4
"3341","Male","18-30","Liberal","Yes",2
"3342","Female","18-30","Other","No",4
"3343","Male","18-30","Liberal","No",3
"3344","Female","18-30","Other","No",0
"3345","Female","18-30","Other","Yes",3
"3346","Male","18-30","Unsure","No",2
"3347","Female","18-30","Conservative","Yes",4
"3348","Male","18-30","Conservative","Yes",4
"3349","Male","18-30","Liberal","No",2
"3350","Male","18-30","Green","No",4
"3351","Male","18-30","Conservative","No",2
"3352","Female","< 18","Green","No",2
"3353","Female","18-30","Other","Yes",0
"3354","Female","18-30","Other","No",4
"3355","Male","18-30","NDP","No",2
"3356","Male","18-30","NDP","No",2
"3357","Female","18-30","Unsure","No",3
"3358","Female","18-30","Liberal","No",5
"3359","Female","18-30","Liberal","No",2
"3360","Female","18-30","NDP","No",5
"3361","Female","18-30","Liberal","No",5
"3362","Male","18-30","Unsure","No",3
"3363","Female","18-30","Liberal","No",2
"3364","Female","18-30","Conservative","No",4
"3365","Male","18-30","Liberal","Yes",5
"3366","Female","18-30","Liberal","Yes",3
"3367","Female","18-30","Liberal","No",2
"3368","Female","< 18","Liberal","No",4
"3369","Male","18-30","Liberal","No",5
"3370","Female","18-30","Green","No",5
"3371","Female","18-30","Liberal","No",4
"3372","Trans or Unisex","18-30","Unsure","Yes",3
"3373","Female","18-30","NDP","No",2
"3374","Female","18-30","Liberal","No",5
"3375","Female","18-30","NDP","No",1
"3376","Female","18-30","Liberal","No",4
"3377","Male","18-30","Conservative","Yes",1
"3378","Female","18-30","Liberal","Yes",2
"3379","Male","18-30","Other","Yes",3
"3380","Male","18-30","Unsure","Unsure",4
"3381","Male","18-30","Liberal","No",1
"3382","Male","18-30","Green","No",2
"3383","Female","18-30","Other","Yes",3
"3384","Female","18-30","Conservative","Yes",1
"3385","Female","18-30","Conservative","Yes",4
"3386","Male","18-30","Liberal","Yes",4
"3387","Male","< 18","Liberal","Yes",4
"3388","Female","18-30","NDP","Yes",3
"3389","Female","18-30","Liberal","No",3
"3390","Male","18-30","Liberal","No",2
"3391","Female","18-30","Conservative","No",5
"3392","Male","18-30","Unsure","Yes",5
"3393","Female","18-30","Conservative","No",3
"3394","Female","18-30","Conservative","Yes",5
"3395","Female","18-30","Other","Yes",3
"3396","Female","18-30","Other","Yes",2
"3397","Male","18-30","Liberal","Yes",4
"3398","Male","18-30","Liberal","Yes",4
